price,date,lag_1,lag_2,lag_3,day_of_week,month,is_weekend
20200,2024-01-12 07:18:57,21000.0,21190.0,20730.0,4,1,0
20820,2024-01-13 04:15:35,20200.0,21000.0,21190.0,5,1,1
19920,2024-01-14 01:00:34,20820.0,20200.0,21000.0,6,1,1
17900,2024-01-16 18:02:54,19920.0,20820.0,20200.0,1,1,0
19990,2024-01-21 18:35:22,17900.0,19920.0,20820.0,6,1,1
20800,2024-01-24 11:33:56,19990.0,17900.0,19920.0,2,1,0
17900,2024-01-26 20:17:31,20800.0,19990.0,17900.0,4,1,0
20800,2024-01-27 18:04:30,17900.0,20800.0,19990.0,5,1,1
20720,2024-01-30 10:52:27,20800.0,17900.0,20800.0,1,1,0
19430,2024-01-31 08:41:27,20720.0,20800.0,17900.0,2,1,0
20800,2024-02-01 06:50:09,19430.0,20720.0,20800.0,3,2,0
17900,2024-02-03 22:14:28,20800.0,19430.0,20720.0,5,2,1
21280,2024-02-07 07:58:58,17900.0,20800.0,19430.0,2,2,0
20800,2024-02-08 05:18:20,21280.0,17900.0,20800.0,3,2,0
17900,2024-02-10 12:21:45,20800.0,21280.0,17900.0,5,2,1
20730,2024-02-11 10:13:37,17900.0,20800.0,21280.0,6,2,1
20090,2024-02-14 22:25:36,20730.0,17900.0,20800.0,2,2,0
19430,2024-02-19 12:09:54,20090.0,20730.0,17900.0,0,2,0
19850,2024-02-22 17:33:08,19430.0,20090.0,20730.0,3,2,0
20470,2024-02-27 17:21:14,19850.0,19430.0,20090.0,1,2,0
19990,2024-03-05 01:57:47,20470.0,19850.0,19430.0,1,3,0
19900,2024-03-11 07:21:32,19990.0,20470.0,19850.0,0,3,0
18890,2024-03-13 23:34:28,19900.0,19990.0,20470.0,2,3,0
19590,2024-03-14 21:53:42,18890.0,19900.0,19990.0,3,3,0
20400,2024-03-21 09:11:58,19590.0,18890.0,19900.0,3,3,0
17900,2024-03-31 12:19:31,20400.0,19590.0,18890.0,6,3,1
20370,2024-04-02 09:09:05,17900.0,20400.0,19590.0,1,4,0
19880,2024-04-07 22:01:00,20370.0,17900.0,20400.0,6,4,1
19940,2024-04-10 19:31:06,19880.0,20370.0,17900.0,2,4,0
19960,2024-04-11 17:40:00,19940.0,19880.0,20370.0,3,4,0
20000,2024-04-12 15:47:54,19960.0,19940.0,19880.0,4,4,0
